video_id,title,description,publish_date,keywords,length_seconds,views,likes,url
M5ur3GqsLh0,"[2023] [01] Print, comments, variables, arithmetic operations, input | Տես. 1 | Python","1. կոդը (https://colab.research.google.com/drive/1u6GWUx2gixNqRlRSDZqHok7miF0DdrTB?usp=sharing)
2. սլայդերը (https://docs.google.com/presentation/d/1wLEnmVYFAvfDMnsNDnFQeVVoMY6nuBUTMLr4siTSJag/edit?usp=sharing)

Տնային՝ առաջին երկու բաժինը այստեղից (https://profound.academy/hy/python-introduction)

00:00 Կոդի սկիզբ
02:03 Print() հրաման
15:03 Comment/ մեկնաբանություններ
19:06 Փոփոխականներ/variables
30:11 Ամրագրված անուններ
37:03 թվերի տեսակները
42:23 թվաբանական գործողություններ
55:00 Input()
01:08:15 Տնայիններ
01:20:50 հարցեր",2025-06-22 06:02:07-07:00,[],4767,40,,https://youtube.com/watch?v=M5ur3GqsLh0
Fwk1PyLotOg,"[2023] [02] Print, comments, variables, arithmetical operations, input | Գործ. 1 | Python","կոդը՝ 
colab.research.google.com/drive/1_r3kzweCkdfBKEYDPkW0fBgG0vjO3M3g?usp=sharing

մնացած մասը profound.academy-ով ենք արել

Վարկյանները մի քիչ սխալ են
00:00 սկիզբ
02:10 1.10 հերթականության շրջումը
07:45 գնահատականների խնդիրը
18:00 քառակուսի հավասարման լուծում
41:20 լրացուցիչ՝ 1.1 հեշտ էր չէ՞
47:23 լրացուցիչ՝ 1.3 գնումներ
59:01 լրացուցիչ՝ 2.1 հանրահաշվական պրոգրեսիա
01:04:40 լրացուցիչ՝ 2.3 ուսանողներ և խնձորներ 2
01:35:20 վերջաբան",2025-06-22 06:03:55-07:00,[],5380,36,,https://youtube.com/watch?v=Fwk1PyLotOg
UZ6lVl0kOlo,"[2023] [03] Պայմաններ։ Bool, if, elif, else, nested if | Տես․ 2 | Python","Բաժիններ՝
00:00 Ողջույն բոլորին
01:12 Բուլյաններ, համեմատության օպերատորներ
04:48 is-ը մանրամասն
10:10 Բուլյան տրամաբանություն
13:30 Վարժություններ
18:36 Փոխանցականություն
20:46 Բուլյաններ ինչպես 1-եր ու 0-ներ
25:00 bool() հրաման
28:30 if պայման 
35:50 elif 
39:15 Օրինակներ
52:10 Ներդրված if-եր
01:20:40 Հարցեր
01:31:40 Տնային
01:34:00 Հարցեր

Դասընթացին միանալու հղումը՝ 
t.me/metric_academy

Կոդը՝
https:// colab.research.google.com/drive/1-2qjb-yTz1cxwkNEF9miQig20hvi_pwg?usp=sharing

Տնային՝
Profound բաժին 5 (Պայմաններ) - լրիվ
Profound բաժին 7 (Ներդրված պայմաններ) - լրիվ",2025-04-18 07:41:21-07:00,[],6043,94,,https://youtube.com/watch?v=UZ6lVl0kOlo
wx3wn5SPt3g,"[2023] [04] Պայմաններ։ Bool, if, elif, else, nested if | Գործ․ 2 | Python","Վարկյաններ
00:00 Ողջույն բոլորին
00:41 6.1,2,3 Կարճ վարժություններ բուլյաններից
08:19 8.1 Գործակալ 007
21:50 8.3 Հռոմեական թվեր
53:50 8.5 Շախմատի թագուհի
01:22:03 8.4 Միջակայքերի հատում
01:58:34 Fizzbuzz",2025-04-18 07:41:58-07:00,[],7729,85,,https://youtube.com/watch?v=wx3wn5SPt3g
6Aktg75ZquA,"[2023] [05] Բաժիններ 3, 5, 7 | Տնայինների քննարկում 1 | Python Profound","մի քիչ ծուռ են վարկյանները
00:00 Ողջույն բոլորին
03:50 1.14
08:01 3.16 թվի մեջտեղի երկու թվանշան
12:32 3.17 ժամացույցի խնդիր
23:23 3.18 ժամացույց ավելի հետաքրքիր դեպք
46:30 5.8 4 թվերից մեծագույնը
01:01:44 5.10 դրականների գումար
01:09:05 7.9 ռուլետկա
01:25:40 7.13 գույների խառնուրդ
01:40:01 7. 14 դժվար պայմաններ",2025-04-23 12:35:01-07:00,[],6459,47,,https://youtube.com/watch?v=6Aktg75ZquA
8XydwiXHcso,"[2023] [06] String, Range, List, some functions on lists/floats, Packages (intro) | Տես․ 3 | Python","կոդը՝ 
colab.research.google.com/drive/1-l9msFV3a67nJTAsT2yxjeCvMF7GaSEm?usp=sharing

Տնային` բաժիններ 9, 11, 13

վարկյաններ՝ (մի քիչ ծուռ)
00:00 Ողջույն բոլորին
01:10 strings (տողեր)
03:11 \ escape character
07:15 տողերի գումարում և թվով բազմապատկում
15:55 հստակ սիմվոլների հետ աշխտաել indexing 
22:20 մի քանի սիմվոլ ընտրել՝ slicing
47:20 range
52:20 formatted string
59:35 raw string
01:02:20 immutability
01:04:30 in operator
01:06:00 list (ցուցակ)
01:18:00 list, float methods
01:22:00 գրադարան
01:32:00 տնային",2025-04-23 12:17:41-07:00,[],5549,71,,https://youtube.com/watch?v=8XydwiXHcso
EMeoo2tYjIA,"[2023] [07] String, Range, List, some functions on lists/floats, Packages (intro) | Գործ․ 3 | Python","կոդը՝ 
colab.research.google.com/drive/1DOXiSja4a8_QK9s8XY_60xWwWzKsEf7l?usp=sharing

Մի քիչ ծուռ են վարկյանները
00:00 Ողջույն բոլորին
01:30 Տողը պոլինդրոմ ա թե չէ
10:50 լիստի միջինը հաշվել
12:52 range-ի խնդիր՝ մինչև 200 զույգ թվերի գումար
23:59 rangeերից հարցեր 
28:01 պարզ տեքստի տպումը՝ SQ6.1
32:10 հեռախոսահամարներ SQ6.2
01:06:00 շրջել միջակայքը SQ6.3",2025-04-25 08:37:28-07:00,[],5789,111,,https://youtube.com/watch?v=EMeoo2tYjIA
C34fNG0VuBA,"[2023] [08] For, while ցիկլեր | Տես․ 4 | Python","կոդը՝ 
colab.research.google.com/drive/1DHyYUjfZw1PQaREvuhfvzjIQR3_UnVGG?usp=sharing

00:00 Ողջույն բոլորին
07:00 for range
30:27 տպել զույգ ինդեքսով թվերը
37:30 for string
40:15 break 
44:40 continue
49:18 for else
01:02:40 while
01:10:15 while break 
01:16:25 while else
01:28:00 հարցեր
01:30:00 տնային",2025-05-26 02:50:10-07:00,[],5513,31,,https://youtube.com/watch?v=C34fNG0VuBA
Fbx_K6FnCnU,"[2023] [09] Ցիկլեր (for, while) | Գործ. 4 | Python","կոդը՝
colab.research.google.com/drive/1C_wOTksrifsVlQW2D4A3pMZTzvKl6SsB?usp=sharing

Վարկյանները մի քիչ ծուռ են դրած
00:00 Ողջույն բոլորին
04:00 սկիզբ
04:33 թվազույգ որի գումարը թիրախին ա հավասար
29:50 տեքստի տառերի քանակ
54:20 թիվը պարզ ա թե չէ
01:15:00 չինգաչունգ
01:53:00 random-ի հետ կապված",2025-05-26 02:45:17-07:00,[],7247,25,,https://youtube.com/watch?v=Fbx_K6FnCnU
-JzN1VtcYj4,"[2023] [10] List, string methods; bulls and cows game | Տես. 5  + մինի պրոեկտ Python","00:00 String methods
21:13 List methods
50:55 Bulls and cows",2025-06-22 06:05:35-07:00,[],4342,4,,https://youtube.com/watch?v=-JzN1VtcYj4
lwQdNzTKiFI,"[2023] [11] Բաժիններ 3, 5, 7 | Տնայինների քննարկում 2 | Python Profound","00:00 1.14 փոփոխականի բաժանարար
08:13 11.6 երկարությունները կարևոր են
23:30 15.4 կրկնիր իմ ետևից
33:50 15.5 ուղղանկյուն
39:30 15.7 ցուցակի մուտքագրում
44:36 15.8 n-ի բաժանարարներ
52:20 15.9 եռանկյուններ
59:50 17.9 թվանշաններ
01:08:30 17.9 ալտերնատիվ լուծում
01:28:50 11.10 կրկնօրինակների հայտաբերում
01:33:00 11.13 տառերը",2025-05-03 10:25:14-07:00,[],5716,94,,https://youtube.com/watch?v=lwQdNzTKiFI
G-0_QM2BJxA,"[2023] [12] Ternary operator list comprehensions + tuple, set, dict | Տես. 6 | Python","Ternary operator list comprehensions`
colab.research.google.com/drive/1p2e775bl_66cEIl7uCfG1T5W3CVWO7X9?usp=sharing

tuple, set, dict`
colab.research.google.com/drive/1clIULv35LHW8_ObAvB1h3jFnMcernnfT?usp=sharing

Վարկյաններ՝
00:00 Ողջույն բոլորին
03:17 ternary operator
09:12 nested ternary operator
20:42 list comprehension
56:12 տնային 1
57:52 tuple
01:08:57 set
01:22:52 dictionary
02:00:47 տնային 2",2025-06-22 06:07:09-07:00,[],7305,9,,https://youtube.com/watch?v=G-0_QM2BJxA
hm_H0h5ta9Q,[2023] [13] Ֆունկցիաներ 1 | Տես․ 7 | Python,"կոդը՝
colab.research.google.com/drive/1R4NXtQiDf_eg5y43kTYktfwb4GoEtU46?usp=sharing

վարկյաններ
00:00 ֆունկցիա, մոտիվացիոն օրինակ
03:57 ֆունկցիաներ սկիզբ
08:05 արգումենտով ֆունկցիաներ
10:05 մի քանի արգումենտով ֆունկցիաներ
29:05 default arguments
32:35 positional/keyword arguments
36:05 ֆակտորիալների խնդիր
47:45 եռանկյան կառուցումը խնդիր
01:04:35 *args
01:19:25 **kwargs
01:23:08 unpacking
01:24:45 արգումենտների հերթականություն
01:30:35 list comprehension-ների կրկնություն
01:35:05 տնային",2025-05-26 02:38:27-07:00,[],5608,90,,https://youtube.com/watch?v=hm_H0h5ta9Q
